"","Year","home_team","away_team","home_score","away_score","outcome","home_foreign","home_rank","home_points","away_foreign","away_rank","away_points"
"1",2010,"Algeria","Slovenia",0,1,"l",17,61,548,23,58,570
"2",2014,"Algeria","Russia",1,1,"t",16,32,749,22,16,954
"3",2006,"Angola","Portugal",0,1,"l",2,72,527,7,12,789
"4",1994,"Argentina","Nigeria",2,1,"w",1,9,55,1,13,53
"5",1994,"Argentina","Bulgaria",0,2,"l",1,9,55,0,24,46
"6",1994,"Argentina","Greece",4,0,"w",1,9,55,2,33,41
"7",1998,"Argentina","Japan",1,0,"w",2,11,58,1,24,51
"8",1998,"Argentina","Croatia",1,0,"w",2,11,58,22,30,50
"9",1998,"Argentina","England",2,2,"t",2,11,58,6,14,56
"10",1998,"Argentina","Jamaica",5,0,"w",2,11,58,8,48,42
"11",2002,"Argentina","England",0,1,"l",1,4,754,9,12,693
"12",2002,"Argentina","Nigeria",1,0,"w",1,4,754,1,50,550
"13",2006,"Argentina","Mexico",2,1,"w",3,4,856,3,8,766
"14",2006,"Argentina","Serbia and Montenegro",6,0,"w",3,4,856,23,41,612
"15",2006,"Argentina","Ivory Coast",2,1,"w",3,4,856,4,49,616
"16",2010,"Argentina","Germany",0,4,"l",4,5,1314,23,4,1319
"17",2010,"Argentina","South Korea",4,1,"w",4,5,1314,1,47,620
"18",2010,"Argentina","Nigeria",1,0,"w",4,5,1314,1,28,807
"19",2010,"Argentina","Mexico",3,1,"w",4,5,1314,1,21,892
"20",2014,"Argentina","Switzerland",1,0,"w",3,5,1240,14,16,978
"21",2014,"Argentina","Belgium",1,0,"w",3,5,1240,12,26,891
"22",2014,"Argentina","Iran",1,0,"w",3,5,1240,3,49,595
"23",2014,"Argentina","Bosnia and Herzegovina",2,1,"w",3,5,1240,23,26,809
"24",2018,"Argentina","Iceland",1,1,"t",3,3,1503,2,27,939
"25",2018,"Argentina","Croatia",0,3,"l",3,3,1503,15,16,1084
"26",2006,"Australia","Japan",3,1,"w",17,56,580,1,24,671
"27",2010,"Australia","Serbia",2,1,"w",14,33,750,23,25,841
"28",2014,"Australia","Netherlands",2,3,"l",13,42,682,9,6,1285
"29",2014,"Australia","Spain",0,3,"l",13,42,682,2,2,1543
"30",2018,"Australia","Peru",0,2,"l",17,51,729,1,30,937
"31",1994,"Belgium","Saudi Arabia",0,1,"l",2,24,46,0,36,39
"32",1994,"Belgium","Netherlands",1,0,"w",2,24,46,5,7,57
"33",1994,"Belgium","Morocco",1,0,"w",2,24,46,0,31,42
"34",1998,"Belgium","Mexico",2,2,"t",5,33,48,1,10,58
"35",1998,"Belgium","South Korea",1,1,"t",5,33,48,1,36,46
"36",2002,"Belgium","Russia",3,2,"w",3,26,622,23,23,633
"37",2014,"Belgium","Algeria",2,1,"w",12,26,891,16,32,749
"38",2014,"Belgium","Russia",1,0,"w",12,26,891,22,16,954
"39",2014,"Belgium","United States",2,1,"w",12,26,891,13,24,845
"40",2018,"Belgium","Tunisia",5,2,"w",12,4,1418,9,33,866
"41",2018,"Belgium","Panama",3,0,"w",12,4,1418,0,59,684
"42",2018,"Belgium","Japan",3,2,"w",12,4,1418,1,52,720
"43",2018,"Belgium","England",2,0,"w",12,4,1418,10,12,1163
"44",1994,"Bolivia","Spain",1,3,"l",4,52,33,0,7,56
"45",2014,"Bosnia and Herzegovina","Iran",3,1,"w",23,26,809,3,49,595
"46",1994,"Brazil","Cameroon",3,0,"w",1,2,61,1,26,45
"47",1994,"Brazil","Cameroon",3,0,"w",1,2,61,17,26,45
"48",1994,"Brazil","Russia",2,0,"w",1,2,61,22,14,53
"49",1994,"Brazil","Sweden",1,1,"t",1,2,61,6,6,57
"50",1994,"Brazil","United States",1,0,"w",1,2,61,12,24,46
"51",1994,"Brazil","Italy",0,0,"t",1,2,61,1,5,58
"52",1998,"Brazil","Norway",1,2,"l",2,1,70,1,12,57
"53",1998,"Brazil","Denmark",3,2,"w",2,1,70,2,11,57
"54",1998,"Brazil","Morocco",3,0,"w",2,1,70,2,24,51
"55",1998,"Brazil","France",0,3,"l",2,1,70,12,9,59
"56",1998,"Brazil","Scotland",2,1,"w",2,1,70,3,31,48
"57",1998,"Brazil","Chile",4,1,"w",2,1,70,0,26,50
"58",1998,"Brazil","Netherlands",1,1,"t",2,1,70,9,10,59
"59",2002,"Brazil","Türkiye",1,0,"w",0,1,821,6,29,613
"60",2002,"Brazil","China",4,0,"w",0,1,821,1,62,510
"61",2002,"Brazil","Türkiye",2,1,"w",0,1,821,6,29,613
"62",2002,"Brazil","Belgium",2,0,"w",0,1,821,3,26,622
"63",2006,"Brazil","Australia",2,0,"w",1,1,939,17,56,580
"64",2006,"Brazil","France",0,1,"l",1,1,939,14,3,882
"65",2006,"Brazil","Croatia",1,0,"w",1,1,939,23,23,698
"66",2006,"Brazil","Ghana",3,0,"w",1,1,939,1,64,574
"67",2010,"Brazil","Chile",3,0,"w",1,3,1470,3,31,774
"68",2010,"Brazil","Ivory Coast",3,1,"w",1,3,1470,2,26,826
"69",2014,"Brazil","Chile",1,1,"t",0,9,1141,2,16,957
"70",2014,"Brazil","Netherlands",0,3,"l",0,9,1141,9,6,1285
"71",2014,"Brazil","Colombia",2,1,"w",0,9,1141,0,18,1005
"72",2014,"Brazil","Mexico",0,0,"t",0,9,1141,1,20,893
"73",2014,"Brazil","Germany",1,7,"l",0,9,1141,17,2,1418
"74",2014,"Brazil","Croatia",3,1,"w",0,9,1141,19,11,1032
"75",2018,"Brazil","Mexico",2,0,"w",1,4,1442,1,18,1054
"76",2018,"Brazil","Belgium",1,2,"l",1,4,1442,12,4,1418
"77",2018,"Brazil","Switzerland",1,1,"t",1,4,1442,15,11,1186
"78",2018,"Brazil","Costa Rica",2,0,"w",1,4,1442,2,26,966
"79",1994,"Bulgaria","Greece",4,0,"w",0,24,46,2,33,41
"80",1994,"Bulgaria","Germany",2,1,"w",0,24,46,22,3,59
"81",1994,"Bulgaria","Italy",1,2,"l",0,24,46,1,5,58
"82",1994,"Cameroon","Sweden",2,2,"t",17,26,45,6,6,57
