"International","FIFA.World.Cup","foreign"
"Argentina",1930,2
"Belgium",1930,0
"Bolivia",1930,0
"Brazil",1930,0
"Chile",1930,0
"France",1930,2
"Mexico",1930,1
"Paraguay",1930,0
"Peru",1930,1
"Romania",1930,15
"United States",1930,16
"Uruguay",1930,3
"Yugoslavia",1930,17
"Argentina",1934,1
"Austria",1934,22
"Belgium",1934,0
"Brazil",1934,0
"Czechoslovakia",1934,22
"Egypt",1934,0
"France",1934,5
"Germany",1934,22
"Hungary",1934,22
"Italy",1934,5
"Netherlands",1934,1
"Romania",1934,22
"Spain",1934,1
"Sweden",1934,0
"Switzerland",1934,0
"United States",1934,19
"Belgium",1938,2
"Brazil",1938,1
"Cuba",1938,4
"Czechoslovakia",1938,22
"Dutch East Indies",1938,0
"France",1938,14
"Germany",1938,22
"Hungary",1938,22
"Italy",1938,1
"Netherlands",1938,0
"Norway",1938,0
"Poland",1938,2
"Romania",1938,22
"Sweden",1938,0
"Switzerland",1938,4
"Bolivia",1950,1
"Brazil",1950,1
"Chile",1950,3
"England",1950,1
"Italy",1950,0
"Mexico",1950,1
"Paraguay",1950,0
"Spain",1950,0
"Sweden",1950,0
"Switzerland",1950,4
"United States",1950,9
"Uruguay",1950,3
"Yugoslavia",1950,0
"Austria",1954,1
"Belgium",1954,0
"Brazil",1954,1
"Czechoslovakia",1954,0
"England",1954,0
"France",1954,9
"Hungary",1954,3
"Italy",1954,0
"Mexico",1954,2
"Scotland",1954,0
"South Korea",1954,20
"Switzerland",1954,2
"Turkey",1954,2
"Uruguay",1954,3
"West Germany",1954,22
"Yugoslavia",1954,0
"Argentina",1958,1
"Austria",1958,2
"Brazil",1958,2
"Czechoslovakia",1958,0
"England",1958,0
"France",1958,5
"Hungary",1958,0
"Mexico",1958,2
"Northern Ireland",1958,0
"Paraguay",1958,0
"Scotland",1958,1
"Soviet Union",1958,0
"Sweden",1958,0
"Wales",1958,0
"West Germany",1958,22
"Yugoslavia",1958,1
"Argentina",1962,2
"Brazil",1962,0
"Bulgaria",1962,0
"Chile",1962,0
"Colombia",1962,0
"Czechoslovakia",1962,1
"England",1962,0
"Hungary",1962,0
"Italy",1962,6
"Mexico",1962,0
"Soviet Union",1962,1
"Spain",1962,4
"Switzerland",1962,2
"Uruguay",1962,0
"West Germany",1962,21
"Yugoslavia",1962,2
"Argentina",1966,1
"Brazil",1966,0
"Bulgaria",1966,0
"Chile",1966,0
"England",1966,2
"France",1966,3
"Hungary",1966,0
"Italy",1966,1
"Mexico",1966,0
"North Korea",1966,0
"Portugal",1966,4
"Soviet Union",1966,1
"Spain",1966,0
"Switzerland",1966,0
"Uruguay",1966,2
"West Germany",1966,22
"Belgium",1970,1
"Brazil",1970,1
"Bulgaria",1970,0
"Czechoslovakia",1970,0
"El Salvador",1970,0
"England",1970,4
"Israel",1970,7
"Italy",1970,1
"Mexico",1970,0
"Morocco",1970,0
"Peru",1970,0
"Romania",1970,0
"Soviet Union",1970,0
"Sweden",1970,0
"Sweden ",1970,11
"Uruguay",1970,1
"West Germany",1970,21
"Argentina",1974,0
"Australia",1974,15
"Brazil",1974,1
"Bulgaria",1974,0
"Chile",1974,0
"East Germany",1974,7
"Haiti",1974,0
"Italy",1974,2
"Netherlands",1974,0
"Poland",1974,1
"Scotland",1974,2
"Sweden",1974,0
"Uruguay",1974,1
"West Germany",1974,2
"Yugoslavia",1974,0
"Zaire",1974,22
"Argentina",1978,0
"Austria",1978,0
"Brazil",1978,2
"France",1978,6
"Hungary",1978,0
"Iran",1978,1
"Italy",1978,1
"Mexico",1978,0
"Netherlands",1978,0
"Peru",1978,1
"Poland",1978,1
"Scotland",1978,1
"Spain",1978,1
"Sweden",1978,0
"Tunisia",1978,0
"West Germany",1978,1
"Algeria",1982,3
"Argentina",1982,0
"Austria",1982,1
"Belgium",1982,1
"Brazil",1982,2
"Cameroon",1982,0
"Cameroon ",1982,3
"Chile",1982,0
"Czechoslovakia",1982,0
"El Salvador",1982,0
"England",1982,2
"France",1982,10
"Honduras",1982,0
"Hungary",1982,0
"Italy",1982,2
"Kuwait",1982,1
"New Zealand",1982,12
"Northern Ireland",1982,2
"Peru",1982,1
"Poland",1982,0
"Scotland",1982,0
"Soviet Union",1982,2
"Spain",1982,1
"West Germany",1982,1
"Yugoslavia",1982,0
"Algeria",1986,5
"Argentina",1986,2
"Belgium",1986,1
"Brazil",1986,2
"Bulgaria",1986,0
"Canada",1986,12
"Denmark",1986,0
"England",1986,2
"France",1986,8
"Hungary",1986,0
"Iraq",1986,0
"Italy",1986,0
"Mexico",1986,1
"Morocco",1986,0
"Northern Ireland",1986,2
"Paraguay",1986,1
"Poland",1986,0
"Portugal",1986,1
"Scotland",1986,2
"South Korea",1986,0
"Soviet Union",1986,2
"Spain",1986,0
"Uruguay",1986,0
"West Germany",1986,2
"Argentina",1990,1
"Austria",1990,0
"Belgium",1990,1
"Brazil",1990,1
"Cameroon",1990,1
"Cameroon ",1990,10
"Colombia",1990,0
"Costa Rica",1990,1
"Czechoslavakia",1990,22
"Egypt",1990,0
"England",1990,3
"Italy",1990,1
"Netherlands",1990,9
"Republic of Ireland",1990,16
"Romania",1990,0
"Scotland",1990,3
"SFR Yugoslavia",1990,1
"South Korea",1990,0
"Soviet Union",1990,1
"Spain",1990,0
"Sweden",1990,2
"United Arab Emirates",1990,0
"United States",1990,5
"Uruguay",1990,0
"West Germany",1990,0
"Argentina",1994,1
"Belgium",1994,2
"Bolivia",1994,4
"Brazil",1994,1
"Bulgaria",1994,0
"Cameroon",1994,1
"Cameroon ",1994,17
"Colombia",1994,0
"Germany",1994,22
"Greece",1994,2
"Italy",1994,1
"Mexico",1994,1
"Morocco",1994,0
"Netherlands",1994,5
"Nigeria",1994,1
"Norway",1994,1
"Republic of Ireland",1994,15
"Romania",1994,2
"Russia",1994,22
"Saudi Arabia",1994,0
"South Korea",1994,0
"Spain",1994,0
"Sweden",1994,6
"Switzerland",1994,4
"United States",1994,12
"Argentina",1998,2
"Austria",1998,1
"Belgium",1998,5
"Brazil",1998,2
"Bulgaria",1998,0
"Cameroon",1998,3
"Chile",1998,0
"Colombia",1998,0
"Croatia",1998,22
"Denmark",1998,2
"England",1998,6
"FR Yugoslavia",1998,22
"France",1998,12
"Germany",1998,22
"Iran",1998,1
"Italy",1998,3
"Jamaica",1998,8
"Japan",1998,1
"Mexico",1998,1
"Morocco",1998,2
"Netherlands",1998,9
"Nigeria",1998,0
"Norway",1998,1
"Paraguay",1998,2
"Romania",1998,1
"Saudi Arabia",1998,0
"Scotland",1998,3
"South Africa",1998,2
"South Korea",1998,1
"Spain",1998,2
"Tunisia",1998,1
"United States",1998,11
"Argentina",2002,1
"Belgium",2002,3
"Brazil",2002,0
"Cameroon",2002,3
"China",2002,1
"Costa Rica",2002,0
"Croatia",2002,23
"Denmark",2002,2
"Ecuador",2002,0
"England",2002,9
"France",2002,12
"Germany",2002,23
"Italy",2002,2
"Japan",2002,1
"Mexico",2002,1
"Nigeria",2002,1
"Paraguay",2002,1
"Poland",2002,1
"Portugal",2002,4
"Republic of Ireland",2002,11
"Russia",2002,23
"Saudi Arabia",2002,0
"Senegal",2002,7
"Slovenia",2002,23
"South Africa",2002,3
"South Korea",2002,1
"Spain",2002,1
"Sweden",2002,4
"Tunisia",2002,2
"Turkey",2002,6
"United States",2002,9
"Uruguay",2002,1
"Angola",2006,2
"Argentina",2006,3
"Australia",2006,17
"Brazil",2006,1
"Costa Rica",2006,1
"Croatia",2006,23
"Czech Republic",2006,23
"Ecuador",2006,2
"England",2006,6
"France",2006,14
"Germany",2006,23
"Ghana",2006,1
"Iran",2006,2
"Italy",2006,2
"Ivory Coast",2006,4
"Japan",2006,1
"Mexico",2006,3
"Netherlands",2006,8
"Paraguay",2006,1
"Poland",2006,0
"Portugal",2006,7
"Saudi Arabia",2006,0
"Serbia and Montenegro",2006,23
"South Korea",2006,0
"Spain",2006,3
"Sweden",2006,5
"Switzerland",2006,10
"Togo",2006,6
"Trinidad and Tobago",2006,3
"Tunisia",2006,8
"Ukraine",2006,24
"United States",2006,7
"Algeria",2010,17
"Argentina",2010,4
"Australia",2010,14
"Brazil",2010,1
"Cameroon",2010,4
"Chile",2010,3
"Denmark",2010,3
"England",2010,3
"France",2010,9
"Germany",2010,23
"Ghana",2010,3
"Greece",2010,4
"Honduras",2010,2
"Italy",2010,2
"Ivory Coast",2010,2
"Japan",2010,1
"Mexico",2010,1
"Netherlands",2010,12
"New Zealand",2010,8
"Nigeria",2010,1
"North Korea",2010,2
"Paraguay",2010,3
"Portugal",2010,7
"Serbia",2010,23
"Slovakia",2010,23
"Slovenia",2010,23
"South Africa",2010,1
"South Korea",2010,1
"Spain",2010,3
"Switzerland",2010,10
"United States",2010,12
"Uruguay",2010,1
"Algeria",2014,16
"Argentina",2014,3
"Australia",2014,13
"Belgium",2014,12
"Bosnia and Herzegovina",2014,23
"Brazil",2014,0
"Cameroon",2014,5
"Chile",2014,2
"Colombia",2014,0
"Costa Rica",2014,2
"Croatia",2014,19
"Ecuador",2014,0
"England",2014,9
"France",2014,15
"Germany",2014,17
"Ghana",2014,5
"Greece",2014,5
"Honduras",2014,0
"Iran",2014,3
"Italy",2014,3
"Ivory Coast",2014,5
"Japan",2014,1
"Mexico",2014,1
"Netherlands",2014,9
"Nigeria",2014,1
"Portugal",2014,5
"Russia",2014,22
"South Korea",2014,0
"Spain",2014,2
"Switzerland",2014,14
"United States",2014,13
"Uruguay",2014,1
"Argentina",2018,3
"Australia",2018,17
"Belgium",2018,12
